"ObsWell","User","LevelDescription","DateAppliedUtc","EndTime","LastGrade","AgeApprovedDat_Months","AgeGradeDat_Months","AgeApprovedDat_Days","AgeGradeDat_Days","ReportDate"
"OW089","BRJACKSO","Approved","2025-07-15T20:36:29.5704572Z",9999-12-31 23:59:59,2024-09-25,-95684.2,17,-2912388.3,517.7,2026-02-25
"OW517","BRJACKSO","Approved","2026-02-03T22:00:50.6280448Z",2025-11-14 18:11:00,2025-11-14,3.3,3.4,101.9,102.7,2026-02-25
"OW502","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-21T01:12:10.9253634Z",2025-11-07 21:58:00,2025-11-07,3.6,3.6,108.8,109.7,2026-02-25
"OW302","Caroline.Wisheart@gov.bc.ca","Approved","2025-11-28T22:24:11.7779295Z",2025-10-29 10:00:00,2025-10-29,3.9,3.9,118.3,118.7,2026-02-25
"OW504","GRHENDER","Approved","2026-01-28T00:25:55.5763631Z",2025-12-11 20:10:00,2025-12-11,2.5,2.5,74.8,75.7,2026-02-25
"OW501","GRHENDER","Approved","2026-01-16T23:15:55.221472Z",2025-11-17 20:00:00,2025-11-17,3.2,3.3,98.8,99.7,2026-02-25
"OW349","GRHENDER","Approved","2026-01-15T23:40:47.4802188Z",2025-08-29 09:00:00,2025-08-29,5.9,5.9,179.3,179.7,2026-02-25
"OW353","GRHENDER","Approved","2026-01-30T00:28:53.5578798Z",2026-01-26 20:45:00,2026-01-26,0.9,1,28.8,29.7,2026-02-25
"OW506","GRHENDER","Approved","2026-01-30T19:14:38.3686866Z",2025-12-03 23:16:00,2025-12-03,2.7,2.7,82.7,83.7,2026-02-25
"OW482","BRJACKSO","Approved","2025-01-24T20:19:07.8224339Z",2024-12-06 14:00:00,2024-12-06,14.6,14.6,445.1,445.7,2026-02-25
"OW503","GRHENDER","Approved","2026-01-28T00:22:11.4516244Z",2025-12-11 17:02:00,2025-12-11,2.5,2.5,75,75.7,2026-02-25
"OW351","GRHENDER","Approved","2025-12-06T00:03:07.6934669Z",2025-11-25 11:05:00,2025-11-25,3,3,91.2,91.7,2026-02-25
"OW396","GRHENDER","Approved","2025-12-02T17:50:01.4727797Z",2025-08-08 17:00:00,2026-02-06,6.6,0.6,200,18.7,2026-02-25
